12|12|21
14|30|3
10|19|14
13|10|14
1|29|20
16|8|9
27|9|17
3|3|6
29|14|26
26|25|26
6|30|4
8|9|13
3|21|12
30|18|7
9|19|29
26|29|3
14|6|6
18|21|14
25|20|14
18|23|17
1|30|9
7|21|24
17|7|11
24|22|9
6|22|27
14|19|10
15|29|10
16|27|6
25|28|22
22|9|30
23|16|25
11|25|1
4|26|5
11|18|20
21|18|14
8|22|23
24|3|27
25|23|13
22|15|30
24|28|8
18|14|1
9|1|22
22|13|25
17|8|24
10|27|30
15|22|16
1|3|14
27|25|8
5|10|12
28|3|2
1|1|13
5|12|26
1|16|3
10|16|5
20|7|12
6|19|18
25|25|21
26|23|9
20|30|13
8|13|18
22|6|18
27|14|1
15|19|9
12|9|15
27|5|7
24|4|21
12|13|10
2|27|14
4|23|13
12|10|28
10|2|12
23|4|9
15|4|13
30|23|20
26|2|9
17|30|11
10|5|12
15|16|22
10|20|13
19|1|17
26|11|4
29|30|20
18|20|13
3|19|30
10|8|19
16|4|13
27|15|2
4|18|7
21|9|24
1|16|6
27|3|17
10|17|1
16|5|21
26|14|28
23|28|10
11|17|6
11|28|28
19|23|12
20|20|10
15|18|29
9|4|2
27|4|3
25|29|16
5|28|20
9|9|28
6|15|21
5|10|19
14|22|28
20|20|27
13|12|13
6|1|21
7|13|15
26|28|5
19|13|9
6|5|26
25|1|22
23|17|18
29|5|12
14|4|2
26|28|16
25|4|12
25|12|24
3|11|3
11|22|13
24|25|6
19|28|9
20|3|28
10|24|15
24|5|2
10|7|10
1|18|7
25|26|7
8|14|15
6|10|21
17|21|1
5|24|7
25|17|6
13|8|19
10|3|22
15|20|17
12|13|25
20|5|11
30|30|15
12|29|7
30|26|10
11|11|22
25|7|9
23|9|8
16|23|17
25|12|25
11|4|23
14|27|28
8|1|11
20|16|6
23|25|3
21|22|7
11|20|5
24|14|26
30|22|15
14|16|24
2|16|3
9|14|5
1|22|7
29|15|17
2|2|15
4|4|15
10|25|14
14|21|1
23|26|8
11|4|7
21|15|22
10|17|21
20|4|12
3|13|16
1|10|4
21|17|9
23|23|29
22|6|11
29|4|13
29|1|15
23|7|24
3|1|26
14|10|24
19|27|18
21|9|1
28|1|5
13|19|5
16|29|1
14|21|9
15|9|2
14|3|28
2|29|4
27|7|26
29|15|21
5|22|28
6|13|20
15|12|24
28|30|11
4|4|8
19|16|8
27|30|16
22|1|16
20|11|12
22|15|1
22|6|19
12|10|4
27|30|20
6|21|15
1|10|15
12|2|7
19|1|2
16|22|10
1|18|21
18|26|11
23|12|25
1|10|21
18|8|19
9|7|1
4|27|4
22|22|30
30|22|27
27|20|3
15|28|22
28|25|21
30|6|26
6|9|13
13|2|3
19|4|27
23|21|7
13|3|5
3|21|13
16|27|27
28|11|7
15|29|28
18|2|8
5|4|20
21|8|3
18|20|10
25|3|20
10|2|20
17|21|20
16|2|7
21|12|22
20|23|9
25|9|22
3|21|21
3|13|15
1|16|20
17|21|29
19|24|4
6|20|16
27|3|2
13|29|20
17|3|13
22|21|3
16|18|17
20|21|12
22|11|25
8|13|10
12|1|4
22|28|18
7|7|26
24|26|26
13|8|10
25|11|23
27|30|18
8|29|7
4|22|10
26|6|20
27|27|13
11|9|14
3|26|26
12|3|18
25|12|22
10|4|9
8|10|12
12|14|19
14|21|24
1|22|4
11|26|7
29|12|16
23|25|5
21|8|24
17|14|18
29|21|19
22|11|8
24|15|23
11|7|10
11|10|26
2|15|6
10|21|24
17|11|24
29|18|3
12|30|18
1|19|5
14|18|26
25|25|12
19|7|29
1|15|22
2|17|27
22|30|23
3|18|17
28|19|27
9|9|27
4|30|12
15|21|16
28|21|18
12|21|29
7|25|16
1|19|12
21|13|18
30|28|25
3|6|13
5|27|26
28|29|25
29|28|12
2|9|1
9|30|24
11|19|22
8|6|7
27|29|23
4|5|1
8|24|14
8|9|5
5|13|13
1|6|20
27|15|11
4|27|22
4|21|3
5|4|3
11|12|29
13|19|11
14|5|26
15|20|18
22|29|17
14|12|22
28|8|17
8|10|18
30|17|7
15|13|26
26|1|11
2|18|21
23|23|24
28|10|24
19|4|4
17|28|12
4|19|5
8|3|19
2|27|30
30|16|9
19|10|6
28|10|13
1|19|21
22|25|10
7|28|1
11|27|24
11|3|25
16|15|13
10|11|21
26|28|21
5|15|5
28|25|9
3|29|20
23|5|22
22|17|19
17|19|28
24|10|14
10|3|17
10|6|24
5|6|6
15|5|21
9|9|4
17|3|18
30|28|22
20|9|17
21|17|16
2|19|6
27|13|23
9|20|11
17|4|29
27|22|13
16|7|27
18|30|3
13|4|16
22|22|17
6|15|18
6|19|10
8|11|24
30|8|21
26|20|14
17|9|7
25|27|1
30|2|21
17|12|3
9|12|20
11|23|10
2|2|1
13|20|6
28|26|25
9|15|24
16|14|4
19|29|26
24|18|17
16|19|23
23|21|28
19|28|3
4|4|7
20|11|9
27|4|7
2|1|12
10|9|10
7|16|22
2|26|17
13|21|20
29|26|8
16|19|12
